Characteristic,Overall (N=16799),Survivors (0) (N=13628),Non-survivors (1) (N=3171),p-value
N (%),-,13628 (81.1%),3171 (18.9%),
age,66.54 ± 16.75,64.95 ± 16.78,73.35 ± 14.82,5.46e-161
"alkaline_phosphatase_count (1.0, N (%))",3645 (21.7%),2720 (20.0%),925 (29.2%),N/A
alkaline_phosphatase_delta,-0.19 ± 5.37,-0.18 ± 3.50,-0.21 ± 8.74,0.908
alkaline_phosphatase_max,111.24 ± 117.09,103.59 ± 102.25,133.26 ± 149.82,9.43e-09
alkaline_phosphatase_mean,110.91 ± 116.82,103.37 ± 102.14,132.61 ± 149.28,1.37e-08
alkaline_phosphatase_min,110.58 ± 116.61,103.14 ± 102.06,131.98 ± 148.86,1.98e-08
alkaline_phosphatase_std,9.32 ± 14.17,7.09 ± 9.38,13.75 ± 19.98,0.0133
anchor_age,64.15 ± 16.98,62.55 ± 16.96,71.05 ± 15.25,2.23e-157
"anion_gap_count (1.0, N (%))",9644 (57.4%),7871 (57.8%),1773 (55.9%),N/A
anion_gap_delta,-0.09 ± 1.28,-0.10 ± 1.15,-0.03 ± 1.71,0.0594
anion_gap_max,14.84 ± 4.46,14.29 ± 3.98,17.11 ± 5.53,4.25e-97
anion_gap_mean,14.70 ± 4.30,14.18 ± 3.85,16.87 ± 5.27,1.89e-97
anion_gap_min,14.56 ± 4.22,14.06 ± 3.80,16.63 ± 5.14,1.78e-93
anion_gap_std,2.07 ± 2.06,1.99 ± 2.00,2.25 ± 2.18,0.0804
"bicarbonate_count (1.0, N (%))",9861 (58.7%),8087 (59.3%),1774 (55.9%),N/A
bicarbonate_delta,0.07 ± 1.02,0.08 ± 0.91,0.05 ± 1.40,0.272
bicarbonate_max,22.92 ± 4.52,23.19 ± 4.21,21.75 ± 5.52,3.17e-28
bicarbonate_mean,22.80 ± 4.56,23.10 ± 4.25,21.56 ± 5.55,1e-31
bicarbonate_min,22.69 ± 4.66,23.01 ± 4.33,21.36 ± 5.66,2.27e-34
bicarbonate_std,1.65 ± 1.68,1.59 ± 1.62,1.81 ± 1.80,0.0641
"bilirubin_total_count (1.0, N (%))",3610 (21.5%),2701 (19.8%),909 (28.7%),N/A
bilirubin_total_delta,0.01 ± 0.19,0.00 ± 0.20,0.01 ± 0.16,0.259
bilirubin_total_max,1.55 ± 3.64,1.29 ± 2.67,2.31 ± 5.51,3.74e-08
bilirubin_total_mean,1.55 ± 3.63,1.28 ± 2.66,2.30 ± 5.50,3.74e-08
bilirubin_total_min,1.53 ± 3.62,1.28 ± 2.64,2.29 ± 5.49,3.69e-08
bilirubin_total_std,0.28 ± 0.52,0.30 ± 0.57,0.24 ± 0.39,0.334
bmi,28.67 ± 6.88,28.84 ± 6.94,27.83 ± 6.58,0.362
bun_count,1.10 ± 0.32,1.08 ± 0.29,1.16 ± 0.42,1.07e-14
bun_delta,-0.03 ± 1.36,-0.05 ± 1.37,0.05 ± 1.35,0.00394
